stationId,stationName,stationLongitude,stationLatitude,parkingQRBikeCnt,parkingELECBikeCnt,parkingTotBikeCnt
ST-1967,295.영등포공원 분수대 앞,126.91170502,37.51481247,4,0,4
ST-1968,296.KT플라자 영등포점,126.90538025,37.52630234,4,0,4
ST-1969,297.국회3문,126.91267395,37.52863693,1,0,1
ST-1970,298.KBS 연구동 건너편,126.91429901,37.52750778,3,0,3
ST-1971,299.여의도 순복음교회,126.92245483,37.53179169,0,1,1
ST-116,300. 정동사거리,126.96923065,37.56805038,2,0,2
ST-117,301. 경복궁역 7번출구 앞,126.97145081,37.57579422,1,0,1
ST-118,302. 경복궁역 4번출구 뒤,126.97406006,37.57594681,3,0,3
ST-119,303. 광화문역 1번출구 앞,126.97466278,37.57176971,21,3,24
ST-121,305. 종로구청 옆,126.97833252,37.57255936,3,1,4
ST-123,307. 서울역사박물관 앞,126.97109985,37.56999969,1,0,1
ST-124,308. 광화문 S타워 앞,126.97393799,37.56996918,2,0,2
ST-125,309. 광화문역 6번출구 옆 B,126.97615814,37.56996155,0,0,0
ST-126,310. 청계광장 옆,126.9774704,37.56887817,5,1,6
ST-130,314. 국립현대미술관,126.98085785,37.5797081,2,0,2
ST-132,316. 종각역 1번출구 앞,126.98178864,37.57039642,0,0,0
ST-134,318. 광교사거리 남측,126.98231506,37.56863403,1,0,1
ST-136,320. 을지로입구역 4번출구 앞,126.98358917,37.56622314,1,0,1
ST-137,321. KEB 하나금융그룹 명동사옥 옆,126.98413849,37.56546402,1,0,1
ST-138,322. 명동성당 앞,126.98696899,37.56447601,0,2,2
ST-140,324. 신세계백화점 본점 앞,126.98069763,37.56143188,2,1,3
ST-142,326. 안국역 5번출구 앞,126.98616028,37.57624054,8,1,9
ST-143,327. 낙원상가 옆,126.9874649,37.57335663,3,0,3
ST-144,328. 탑골공원 앞,126.9881897,37.57039642,1,0,1
ST-145,329. 청계2가 사거리 옆,126.98788452,37.56848526,9,1,10
ST-147,331. 을지로2가 사거리 북측,126.98720551,37.56638336,1,0,1
ST-148,332. 을지로2가 사거리 남측,126.98779297,37.56599045,0,1,1
ST-150,334. 종로3가역 2번출구 뒤,126.99179077,37.5705986,0,0,0
ST-151,335. 종로3가역 15번출구 앞,126.99165344,37.57019424,0,0,0
ST-152,336. 충무로역 6번출구 앞,126.99311066,37.56144714,2,0,2
ST-153,337. 창경궁 입구,126.99647522,37.57897949,3,6,9
ST-154,338. 세운스퀘어 앞,126.99712372,37.57095718,0,0,0
ST-155,339. 종로4가 사거리,126.99819183,37.57106781,0,0,0
ST-156,340. 혜화동 로터리,127.00067902,37.58562851,1,4,5
ST-157,341. 혜화역 3번출구 뒤,127.00178528,37.58156967,8,2,10
ST-158,342. 대학로 마로니에공원,127.00253296,37.57978439,5,2,7
ST-159,343. 예일빌딩(율곡로) 앞,127.00469971,37.57561111,0,4,4
ST-160,344. 성균관대 E하우스 앞,127.0065918,37.57419968,1,8,9
ST-161,345. 서울보증보험본사 앞,127.00070953,37.57330704,4,0,4
ST-162,346. 맥스타일 앞,127.00988007,37.56918335,0,3,3
ST-163,347. 동대문역사문화공원역 9번출구 앞,127.00784302,37.56533051,1,6,7
ST-183,348. 독립문역 사거리,126.96078491,37.57202911,1,6,7
ST-165,349. 어린이도서관,126.96858978,37.57633209,0,0,0
ST-167,351. 청운초교 앞 삼거리,126.97041321,37.58496857,1,3,4
ST-168,352. 중앙고입구 삼거리,126.98523712,37.58341599,0,1,1
ST-169,353. 재동초교 앞 삼거리,126.9849472,37.57938766,4,0,4
ST-170,354. 포르투갈 대사관 앞,126.98896027,37.57915497,10,0,10
ST-171,355. 서울사대부속초교 앞,127.00245667,37.57650757,0,6,6
ST-172,356. KT혜화지사 앞,127.00205994,37.57714462,3,4,7
ST-173,358. 성균관대입구 사거리 A,126.99853516,37.58250046,3,4,7
ST-174,359. 원남동사거리,126.99768066,37.57606125,3,4,7
ST-175,361. 동묘앞역 1번출구 뒤,127.01590729,37.57324219,5,30,35
ST-176,362. 청계8가사거리 A,127.02304077,37.57219696,0,12,12
ST-177,363. 신설동역 11번출구 뒤,127.02285004,37.57559204,28,14,42
ST-178,364. 창신역 1번출구 앞,127.01508331,37.57933426,0,0,0
ST-180,367. 독립문역 3-1번출구 ,126.95851898,37.57415771,8,0,8
ST-181,368. SK 서린빌딩 앞,126.98053741,37.5692482,5,2,7
ST-185,370. 시청역(2호선) 9번출구 뒤,126.97483826,37.56322861,3,1,4
ST-186,371. 동대입구역 6번출구 뒤,127.00553894,37.55887222,2,3,5
ST-187,372. 약수역 3번출구 뒤,127.01119995,37.55429459,6,6,12
ST-189,374. 청구역 2번출구 앞,127.01407623,37.5604744,2,10,12
ST-194,379. 서울역9번출구,126.97335815,37.55599976,6,1,7
ST-195,380. CJ제일제당 앞,127.00274658,37.56386566,3,3,6
ST-196,381. 장충체육관,127.00698853,37.55853271,4,1,5
ST-197,382. 약수역 10번출구 앞,127.01004791,37.55519867,1,5,6
ST-198,383. 신당역 12번 출구 뒤,127.0164032,37.5658493,1,10,11
ST-199,384. 종로학원본원 ,126.96850586,37.55978012,2,1,3
ST-336,385. 종각역 5번출구,126.98265839,37.56983566,1,0,1
ST-338,387. 훈련원공원주차장 앞,127.00346375,37.56699371,4,17,21
ST-444,388. 동성중학교 앞,127.0016098,37.58573532,0,1,1
ST-943,389. 을지로4가역 1번출구,126.99660492,37.5667305,4,0,4
ST-944,390. 충무로역 1번출구,126.9953537,37.56138992,1,0,1
ST-977,391. 시립미술관,126.97340393,37.56505203,4,0,4
ST-1372,393. 동대문역 8번 출구,127.00937653,37.57014084,3,4,7
ST-1373,394. 경희궁 자이 3단지,126.96591949,37.56748962,10,0,10
ST-1374,395. 경희궁 자이 2단지,126.96456146,37.56885529,12,7,19
ST-1432,397. 종묘공영주차장 건너편,126.99663544,37.57048035,0,0,0
